EMPLOYER_NORM,TICKER,EXCHANGE,LISTED_NAME,MATCH_TYPE,MATCH_SCORE,TOTAL_PETITIONS
"PALO ALTO NETWORKS, INC.",PANW,NASDAQ,"Palo Alto Networks, Inc.",listing,100.0,3049
"WESTERN DIGITAL TECHNOLOGIES, INC.",WDC,NASDAQ,Western Digital Corporation,manual,100.0,3031
HCL GLOBAL SYSTEMS INC,nan,nan,nan,not_traded,0.0,2956
"SYSTEM SOFT TECHNOLOGIES, LLC",nan,nan,nan,not_traded,0.0,2952
MASTERCARD INTERNATIONAL INCORPORATED,MA,NYSE,Mastercard Incorporated,manual,100.0,2887
VISA U.S.A. INC.,V,NYSE,Visa Inc.,manual,100.0,2883
"CHARTER COMMUNICATIONS, INC.",CHTR,NASDAQ,"Charter Communications, Inc.",listing,100.0,2799
COLUMBIA UNIVERSITY,nan,nan,nan,not_traded,0.0,2793
"INFINITE COMPUTER SOLUTIONS, INC.",nan,nan,nan,not_traded,0.0,2790
"THE MATHWORKS, INC.",nan,nan,nan,not_traded,0.0,2771
TIKTOK INC.,nan,nan,nan,not_traded,0.0,2754
"AT&T SERVICES, INC.",T,NYSE,AT&T Inc.,manual,100.0,2748
"FISERV SOLUTIONS, LLC",FISV,NASDAQ,"Fiserv, Inc.",listing,100.0,2724
"V-SOFT CONSULTING GROUP, INC",nan,nan,nan,not_traded,0.0,2710
SNAP INC.,SNAP,NYSE,Snap Inc.,search,100.0,2690
CITIUSTECH INC.,nan,nan,nan,not_traded,0.0,2683
WAYFAIR LLC,W,NYSE,Wayfair Inc.,search,100.0,2566
"LUCID USA, INC.",LCID,NASDAQ,"Lucid Group, Inc.",manual,100.0,2565
"SAP AMERICA, INC.",SAP,NYSE,SAP  SE,manual,100.0,2555
"ANTHEM, INC.",ELV,NYSE,"Elevance Health, Inc.",manual,100.0,2549
AETNA RESOURCES LLC,CVS,NYSE,CVS Health Corporation,manual,100.0,2525
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,nan,nan,nan,not_traded,0.0,2520
"ADP TECHNOLOGY SERVICES, INC.",ADP,NASDAQ,"Automatic Data Processing, Inc.",manual,100.0,2475
SYNECHRON INC,nan,nan,nan,not_traded,0.0,2451
EMORY UNIVERSITY,nan,nan,nan,not_traded,0.0,2431
MORGAN STANLEY SERVICES GROUP INC.,MS,NYSE,Morgan Stanley,search,100.0,2429
"LOWE'S COMPANIES, INC.",LOW,NYSE,"Lowe's Companies, Inc.",search,100.0,2426
"SYNECHRON, INC.",nan,nan,nan,not_traded,0.0,2419
CREDIT SUISSE SECURITIES (USA) LLC,UBS,NYSE,UBS Group AG Registered,manual,100.0,2412
SKILLTUNE TECHNOLOGIES INC,nan,nan,nan,not_traded,0.0,2396
"MEDTRONIC, INC.",MDT,NYSE,Medtronic plc.,search,100.0,2362
"MANAGEMENT HEALTH SYSTEMS, LLC",nan,nan,nan,not_traded,0.0,2357
CAREMARK LLC,CVS,NYSE,CVS Health Corporation,manual,100.0,2355
UNIVERSITY OF WISCONSIN SYSTEM,nan,nan,nan,not_traded,0.0,2350
"CAPGEMINI AMERICA, INC.",nan,nan,nan,not_traded,0.0,2341
YALE UNIVERSITY,nan,nan,nan,not_traded,0.0,2334
"NTT DATA, INC.",nan,nan,nan,not_traded,0.0,2327
GLOBALLOGIC INC.,nan,nan,nan,not_traded,0.0,2321
HTC GLOBAL SERVICES INC.,nan,nan,nan,not_traded,0.0,2321
"EXLSERVICE.COM, LLC",EXLS,NASDAQ,"ExlService Holdings, Inc.",manual,100.0,2316
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",nan,nan,nan,not_traded,0.0,2314
"JUNIPER NETWORKS, INC.",HPE,NYSE,Hewlett Packard Enterprise Comp,manual,100.0,2302
CERNER CORPORATION,ORCL,NYSE,Oracle Corporation,manual,100.0,2296
"NATIONAL INSTITUTES OF HEALTH, HHS",nan,nan,nan,not_traded,0.0,2285
IBM INDIA PRIVATE LIMITED,IBM,NYSE,International Business Machines,manual,100.0,2280
"WORKDAY, INC.",WDAY,NASDAQ,"Workday, Inc.",listing,100.0,2274
"AMERICAN AIRLINES, INC.",AAL,NASDAQ,"American Airlines Group, Inc.",listing,100.0,2271
"ELEVANCE HEALTH, INC.",ELV,NYSE,"Elevance Health, Inc.",search,100.0,2268
STATE STREET BANK AND TRUST COMPANY,STT,NYSE,State Street Corporation,manual,100.0,2235
"AMAZON.COM SERVICES, INC.",AMZN,NASDAQ,"Amazon.com, Inc.",manual,100.0,2231
"ERP ANALYSTS, INC.",nan,nan,nan,not_traded,0.0,2215
"FIDELITY TECHNOLOGY GROUP, LLC D/B/A FIDELITY INVESTMENTS",nan,nan,nan,not_traded,0.0,2206
GENPACT LLC,G,NYSE,Genpact Limited,search,100.0,2198
WASHINGTON UNIVERSITY,nan,nan,nan,not_traded,0.0,2193
HARVARD UNIVERSITY,nan,nan,nan,not_traded,0.0,2184
"HCL AMERICA, INC",nan,nan,nan,not_traded,0.0,2154
THE UNIVERSITY OF ALABAMA AT BIRMINGHAM,nan,nan,nan,not_traded,0.0,2131
NATSOFT CORPORATION,nan,nan,nan,not_traded,0.0,2117
MEMORIAL SLOAN KETTERING CANCER CENTER,nan,nan,nan,not_traded,0.0,2116
ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,nan,nan,nan,not_traded,0.0,2104
"NIKE, INC.",NKE,NYSE,"Nike, Inc.",search,100.0,2101
"NETFLIX, INC.",NFLX,NASDAQ,"Netflix, Inc.",listing,100.0,2082
UNIVERSITY OF PITTSBURGH,nan,nan,nan,not_traded,0.0,2079
NORTHWESTERN UNIVERSITY,nan,nan,nan,not_traded,0.0,2076
"PERSISTENT SYSTEMS, INC.",nan,nan,nan,not_traded,0.0,2052
UBS BUSINESS SOLUTIONS US LLC,UBS,NYSE,UBS Group AG Registered,manual,100.0,2048
UT SOUTHWESTERN MEDICAL CENTER,nan,nan,nan,not_traded,0.0,2041
"ZS ASSOCIATES, INC.",nan,nan,nan,not_traded,0.0,2025
EMC CORPORATION,DELL,NYSE,Dell Technologies Inc.,manual,100.0,2022
VERIZON DATA SERVICES LLC,VZ,NYSE,Verizon Communications Inc.,manual,100.0,2016
WAYMO LLC,GOOGL,NASDAQ,Alphabet Inc.,manual,100.0,2010
"CADENCE DESIGN SYSTEMS, INC.",CDNS,NASDAQ,"Cadence Design Systems, Inc.",listing,100.0,2007
TRUIST BANK,TFC,NYSE,Truist Financial Corporation,manual,100.0,2004
ST. JUDE CHILDREN'S RESEARCH HOSPITAL,nan,nan,nan,not_traded,0.0,2000
UNIVERSITY OF FLORIDA,nan,nan,nan,not_traded,0.0,1992
"MORGAN STANLEY SERVICES GROUP, INC.",MS,NYSE,Morgan Stanley,search,100.0,1964
PURDUE UNIVERSITY,nan,nan,nan,not_traded,0.0,1946
FCA US LLC,STLA,NYSE,Stellantis N.V.,manual,100.0,1939
"TARGET ENTERPRISE, INC.",TGT,NYSE,Target Corporation,manual,100.0,1926
NOKIA OF AMERICA CORPORATION,NOK,NYSE,Nokia Corporation Sponsored,manual,100.0,1893
"CHARLES SCHWAB AND COMPANY, INC.",SCHW,NYSE,Charles Schwab Corporation (The,manual,100.0,1889
UNIVERSITY OF MINNESOTA,nan,nan,nan,not_traded,0.0,1889
"OATH HOLDINGS, INC.",nan,nan,nan,not_traded,0.0,1888
GOLDMAN SACHS BANK USA,GS,NYSE,"Goldman Sachs Group, Inc. (The)",manual,100.0,1883
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",nan,nan,nan,not_traded,0.0,1881
THE UNIVERSITY OF CHICAGO,nan,nan,nan,not_traded,0.0,1869
AMGEN INC.,AMGN,NASDAQ,Amgen Inc.,manual,100.0,1857
"ASML US, LP",ASML,NASDAQ,ASML Holding N.V. - New York Re,manual,100.0,1856
"PINTEREST, INC.",PINS,NYSE,"Pinterest, Inc.",search,100.0,1847
GENERAL HOSPITAL CORPORATION,nan,nan,nan,not_traded,0.0,1809
THE DEVEREUX FOUNDATION,nan,nan,nan,not_traded,0.0,1803
DALLAS INDEPENDENT SCHOOL DISTRICT,nan,nan,nan,not_traded,0.0,1797
EPAM SYSTEMS INC.,EPAM,NYSE,"EPAM Systems, Inc.",search,100.0,1794
"UT-BATTELLE, LLC (OAK RIDGE NATIONAL LABORATORY)",nan,nan,nan,not_traded,0.0,1783
"FEDEX CORPORATE SERVICES, INC.",FDX,NYSE,FedEx Corporation,manual,100.0,1777
"STRIPE, INC.",nan,nan,nan,not_traded,0.0,1773
