EMPLOYER_NORM,TICKER,EXCHANGE,LISTED_NAME,MATCH_TYPE,MATCH_SCORE,TOTAL_PETITIONS
ST. LAWRENCE UNIVERSITY,,,,not_found,0.0,29
"SOUTHEASTERN HOSPITALIST SERVICES, PC",,,,not_found,0.0,29
SOFTIONS CONSULTING INC.,,,,not_found,0.0,29
TRINITY WEST,,,,not_found,0.0,29
TRINUC LLC,,,,not_found,0.0,29
"UGI UTILITIES, INC.",,,,not_found,0.0,29
WAVE SOLUTIONS INC,,,,not_found,0.0,29
"¿PGIM, INC.",,,,not_found,0.0,29
ZENITH LIFESCIENCE LLC,,,,not_found,0.0,29
YERRALPHA LLC DBA SMD TECHNOSOL,,,,not_found,0.0,29
XEBRIUM INC.,,,,not_found,0.0,29
"WUNDERLICH-MALEC ENGINEERING, INC.",,,,not_found,0.0,29
WISE MEN SOLUTIONS LLC,,,,not_found,0.0,29
"WINN-DIXIE STORES, INC.",,,,not_found,0.0,29
WINGEN SYSTEMS INC.,,,,not_found,0.0,29
"WIND RIVER SYSTEMS, INC.",,,,not_found,0.0,29
"WILSHIRE ADVISORS, LLC",,,,not_found,0.0,29
"WILLIAMS WPC-I, LLC",,,,not_found,0.0,29
"WEST COAST CONSULTING, LLC",,,,not_found,0.0,29
"WELSPUN PIPES, INC.",,,,not_found,0.0,29
"WAYNE FUELING SYSTEMS, LLC",,,,not_found,0.0,29
WASHINGTON COLLEGE,,,,not_found,0.0,29
"UNIFIED TECH GROUP, INC.",,,,not_found,0.0,29
VSK INFOSYSTEMS LLC,,,,not_found,0.0,29
VSECURE LABS INC,,,,not_found,0.0,29
VORTECH IT SOLUTIONS INC,,,,not_found,0.0,29
"VITAL STRATEGIES, INC.",,,,not_found,0.0,29
VIRGINIA MILITARY INSTITUTE,,,,not_found,0.0,29
VIDHA IT SOLUTIONS LLC,,,,not_found,0.0,29
VICTOIRE SYSTEMS LLC,,,,not_found,0.0,29
"VIBRANTCARE REHABILITATION, INC.",,,,not_found,0.0,29
"VERVE THERAPEUTICS, INC.",,,,not_found,0.0,29
VERSION IT INC,,,,not_found,0.0,29
"VENAFI, INC.",,,,not_found,0.0,29
"VALASSIS COMMUNICATIONS, INC.",,,,not_found,0.0,29
"UNIVERSITY HEALTH SYSTEM, INC.",,,,not_found,0.0,29
UNIVERSAL PROCESSING LLC,,,,not_found,0.0,29
SK HYNIX AMERICA INC.,,,,not_found,0.0,29
USATECH CONSULTING LLC,,,,not_found,0.0,29
"SIMPLECITIZEN, INC.",,,,not_found,0.0,29
"PEAKPOINT TECHNOLOGIES, INC.",,,,not_found,0.0,29
"QUANTLAB FINANCIAL, LLC",,,,not_found,0.0,29
"QUANTA TECHNOLOGY, LLC",,,,not_found,0.0,29
"QUALITAS INFOTECH, INC.",,,,not_found,0.0,29
"PUTNAM INVESTMENT MANAGEMENT, LLC",,,,not_found,0.0,29
"PUREM NOVI, INC.",,,,not_found,0.0,29
PRONIX INC.,,,,not_found,0.0,29
"PROMAXO, INC.",,,,not_found,0.0,29
"PRAVASTECH, INC.",,,,not_found,0.0,29
PNS SOFTWARE INC.,,,,not_found,0.0,29
"PLANTE MORAN, PLLC",,,,not_found,0.0,29
"PITTSBURGH GLASS WORKS, LLC",,,,not_found,0.0,29
"PILOT.COM, INC.",,,,not_found,0.0,29
"PHILIPS MEDICAL SYSTEMS (CLEVELAND), INC.",,,,not_found,0.0,29
"PERSEUS, INC.",,,,not_found,0.0,29
OUTPACE LLC,,,,not_found,0.0,29
"QUMULO, INC.",,,,not_found,0.0,29
"OUTBOX SYSTEMS, INC.",,,,not_found,0.0,29
"OTO ANALYTICS, INC.",,,,not_found,0.0,29
"OSRAM SYLVANIA, INC.",,,,not_found,0.0,29
ORANGE INFORMATION TECHNOLOGY SOLUTIONS INC,,,,not_found,0.0,29
ORA APPS INC,,,,not_found,0.0,29
"ONSOLVE, LLC",,,,not_found,0.0,29
"OMAHA PUBLIC SCHOOLS, DISTRICT 0001",,,,not_found,0.0,29
"OLIVE AI, INC.",,,,not_found,0.0,29
OKLAHOMA TECHNOLOGY GROUP LLC,,,,not_found,0.0,29
"OFFICE DEPOT, INC.",,,,not_found,0.0,29
"OCUSUN, LLC",,,,not_found,0.0,29
"OCMI, INC.",,,,not_found,0.0,29
OBJECTS ON NET INC.,,,,not_found,0.0,29
SILICON STAFF IT SERVICES INC,,,,not_found,0.0,29
QUBEWAY CONSULTING LLC,,,,not_found,0.0,29
"PARSONS TRANSPORTATION GROUP, INC.",PSN,NYSE,Parsons Corporation,manual,100.0,29
"RABA KISTNER, INC.",,,,not_found,0.0,29
"SCIENCELOGIC, INC.",,,,not_found,0.0,29
SAM SCHWARTZ CONSULTING LLC,,,,not_found,0.0,29
"SAMEPAGE INFORMATION SOLUTIONS, INC",,,,not_found,0.0,29
"SANDVIK MINING AND CONSTRUCTION USA, LLC",,,,not_found,0.0,29
"SANNOVA ANALYTICAL, INC.",,,,not_found,0.0,29
SANPRO TECHNOLOGIES INC,,,,not_found,0.0,29
"SB INVESTMENT ADVISERS (US), INC.",,,,not_found,0.0,29
SCRIPPS HEALTH,,,,not_found,0.0,29
SAHASRA TECHNOLOGIES CORPORATION,,,,not_found,0.0,29
"SEAGATE CLOUD SYSTEMS, INC.",,,,not_found,0.0,29
SELENE FINANCE LP,,,,not_found,0.0,29
SETON HALL UNIVERSITY,,,,not_found,0.0,29
"SETTY & ASSOCIATES INTERNATIONAL, PLLC",,,,not_found,0.0,29
RANG TECHNOLOGIES INC.,,,,not_found,0.0,29
SHIPWELL INC.,,,,not_found,0.0,29
SAI-MED PARTNERS LLC,,,,not_found,0.0,29
"SARKIT, INC",,,,not_found,0.0,29
"REXEL USA, INC.",,,,not_found,0.0,29
RECURSION TECHNOLOGIES INC.,,,,not_found,0.0,29
"REDIS LABS, INC.",,,,not_found,0.0,29
RENSOFT INC,,,,not_found,0.0,29
"REACHMOBI, INC.",,,,not_found,0.0,29
"RH TECHNOLOGIES, INC",,,,not_found,0.0,29
RITESTEP REHAB SOLUTIONS LLC,,,,not_found,0.0,29
"RIVERBEND MEDICAL GROUP, INC.",,,,not_found,0.0,29
"ROBERT A.M. STERN ARCHITECTS, LLP",,,,not_found,0.0,29
ROGERS CORPORATION,,,,not_found,0.0,29
ROMAN HEALTH VENTURES INC.,,,,not_found,0.0,29
"RUNWAY AI, INC.",,,,not_found,0.0,29
"RXO CORPORATE SOLUTIONS, LLC",,,,not_found,0.0,29
SAFRAN SEATS USA LLC,,,,not_found,0.0,29
P3 HEALTH GROUP HOLDINGS LLC,,,,not_found,0.0,28
PACIFIC UNION COLLEGE,,,,not_found,0.0,28
PADILLA & COMPANY LLP,,,,not_found,0.0,28
NEXT PHASE SYSTEMS INC.,,,,not_found,0.0,28
PANDIT VIEW SOFTWARE LLC,,,,not_found,0.0,28
PEABODY INVESTMENTS CORP.,,,,not_found,0.0,28
"OPENWAVE COMPUTING, LLC",,,,not_found,0.0,28
"PENNONI ASSOCIATES, INC.",,,,not_found,0.0,28
"OPTIMUSS, INC.",,,,not_found,0.0,28
OAK RIDGE ASSOCIATED UNIVERSITIES,,,,not_found,0.0,28
"OPENET TELECOM, INC.",,,,not_found,0.0,28
OHIO CONFERENCE OF SEVENTH-DAY ADVENTISTS,,,,not_found,0.0,28
OCEAN STATE VETERINARY SPECIALISTS,,,,not_found,0.0,28
"OBJECT COMPUTING, INC.",,,,not_found,0.0,28
"OAKLEY, INC.",,,,not_found,0.0,28
NITOR INFOTECH INC,,,,not_found,0.0,28
NEXGEN SAVVY SOLUTIONS LLC,,,,not_found,0.0,28
"PHOEBE PUTNEY MEMORIAL HOSPITAL, INC.",,,,not_found,0.0,28
"PEOPLELINK, LLC",,,,not_found,0.0,28
"R CUBE CREATIVE CONSULTING, INC.",,,,not_found,0.0,28
PLANET EQUITY GROUP,,,,not_found,0.0,28
PSI SERVICES LLC,,,,not_found,0.0,28
"RESTORATION HARDWARE, INC.",,,,not_found,0.0,28
NETSTAR (US) INC.,,,,not_found,0.0,28
"RAVEN INDUSTRIES, INC.",,,,not_found,0.0,28
"RACAR ENGINEERING LLC, DBA TOOGANN",,,,not_found,0.0,28
QUEEN'S UNIVERSITY MEDICAL GROUP,,,,not_found,0.0,28
QUADTREE INC.,,,,not_found,0.0,28
PURDUE PHARMA L.P.,,,,not_found,0.0,28
PROWORQS INC.,,,,not_found,0.0,28
"PLANETART, LLC",,,,not_found,0.0,28
PROVIDENCE COLLEGE,,,,not_found,0.0,28
PROLIM GLOBAL CORPORATION,,,,not_found,0.0,28
PROFESSIONAL ORTHOPEDIC & SPORTS PHYSICAL THERAPY,,,,not_found,0.0,28
"PRICE FOR PROFIT, LLC",,,,not_found,0.0,28
PRATT MEDICAL GROUP INC. (TMCPO),,,,not_found,0.0,28
PRAITECH INC,,,,not_found,0.0,28
POLYGON IT SOLUTIONS LLC,,,,not_found,0.0,28
"NEWWAVE TELECOM & TECHNOLOGIES, INC.",,,,not_found,0.0,28
KELLOGG BUSINESS SERVICES COMPANY LLC,,,,not_found,0.0,28
"NAVVIS & COMPANY, LLC",,,,not_found,0.0,28
"KING'S HAWAIIAN HOLDING COMPANY, INC.",,,,not_found,0.0,28
"LOGEXSOFT, INC.",,,,not_found,0.0,28
"LIVING THE LANGUAGE, LLC",,,,not_found,0.0,28
LIVEINTENT INC.,,,,not_found,0.0,28
LEVIO CONSULTING INC,,,,not_found,0.0,28
LEEZ INC.,,,,not_found,0.0,28
"KOHLS, INC.",,,,not_found,0.0,28
KIP INFORMATION TECHNOLOGIES INC,,,,not_found,0.0,28
KHP SOLUTIONS INC,,,,not_found,0.0,28
LOYOLA UNIVERSITY NEW ORLEANS,,,,not_found,0.0,28
"KERING AMERICAS, INC.",,,,not_found,0.0,28
"KEE TECHNOLOGIES GROUP, INC.",,,,not_found,0.0,28
KEB HANA BANK NEW YORK AGENCY,,,,not_found,0.0,28
KATTEN MUCHIN ROSENMAN LLP,,,,not_found,0.0,28
"KAPSCH TRAFFICCOM USA, INC.",,,,not_found,0.0,28
KALVEN TECHNOLOGIES INC,,,,not_found,0.0,28
RIGHTPOINT CONSULTING LLC,,,,not_found,0.0,28
"LOGIC SOLUTIONS, INC.",,,,not_found,0.0,28
LUCID INFOSYSTEMS LLC,,,,not_found,0.0,28
NATIONAL STUDENT CLEARINGHOUSE,,,,not_found,0.0,28
"MERCHANT LINK, LLC",,,,not_found,0.0,28
"MYCASE, INC.",,,,not_found,0.0,28
"MSG GLOBAL SOLUTIONS, INC.",,,,not_found,0.0,28
MSC SOFTWARE CORPORATION,,,,not_found,0.0,28
MODERN TREASURY CORPORATION,,,,not_found,0.0,28
MINDSPECS LLC,,,,not_found,0.0,28
METRO INFECTIOUS DISEASE CONSULTANTS,,,,not_found,0.0,28
"MERITUS MEDICAL CENTER, INC.",,,,not_found,0.0,28
"MEDHOST SERVICES, INC.",,,,not_found,0.0,28
"LUZON TECHNOLOGIES, INC.",,,,not_found,0.0,28
MEDECISION,,,,not_found,0.0,28
MCDERMOTT WILL & EMERY LLP,,,,not_found,0.0,28
MAXIMUS TEK INC,,,,not_found,0.0,28
MATONEE INC.,,,,not_found,0.0,28
"MARS PARTNERS, INC.",,,,not_found,0.0,28
MARANA HEALTH CENTER,,,,not_found,0.0,28
MANGAN INC.,,,,not_found,0.0,28
"REVEL CONSULTING SERVICES, LLC",,,,not_found,0.0,28
"TOTAL QUALITY LOGISTICS, LLC",,,,not_found,0.0,28
"ROCKET HOMES REAL ESTATE, LLC",,,,not_found,0.0,28
"RONUSTECH, LLC",,,,not_found,0.0,28
"THE PRODUCTIVITY TEAM, LLC",,,,not_found,0.0,28
"THE OGILVY GROUP, LLC",WPP,NYSE,WPP plc,manual,100.0,28
THE J.M. SMUCKER COMPANY,,,,not_found,0.0,28
THE HENRY M JACKSON FOUNDATION,,,,not_found,0.0,28
THE HEALTHCARE AUTHORITY FOR BAPTIST HEALTH AN AFFILIATE OF UAB HEALTH,,,,not_found,0.0,28
THE HARTFORD STEAM BOILER INSPECTION AND INSURANCE CO.,,,,not_found,0.0,28
THE HANOVER INSURANCE COMPANY,,,,not_found,0.0,28
THE ASSOCIATED PRESS,,,,not_found,0.0,28
TETRIXSOFT LLC,,,,not_found,0.0,28
"TETRAFORZASOFT, INC.",,,,not_found,0.0,28
TELAMON CORPORATION,,,,not_found,0.0,28
TEKION CORP,,,,not_found,0.0,28
TEK IQ SOLUTIONS INC,,,,not_found,0.0,28
TEK EXCEL INC.,,,,not_found,0.0,28
TEK CONTENT LLC.,,,,not_found,0.0,28
"TECH FABRIC, LLC",,,,not_found,0.0,28
TATA E SERVE INTERNATIONAL LIMITED,,,,not_found,0.0,28
THE ROCKEFELLER FOUNDATION,,,,not_found,0.0,28
THE RUSSIAN SCHOOL OF MATHEMATICS INC.,,,,not_found,0.0,28
"THE SMILE MISSION SOUTH MIAMI, PLLC",,,,not_found,0.0,28
"TULIP INTERFACES, INC.",,,,not_found,0.0,28
USHUR INC.,,,,not_found,0.0,28
"USER TESTING, INC.",,,,not_found,0.0,28
UNIVERSAL INSTRUMENTS CORPORATION,,,,not_found,0.0,28
UNITED STATES MILITARY ACADEMY,,,,not_found,0.0,28
UNITED BIOSOURCE LLC,,,,not_found,0.0,28
"UCB, INC.",,,,not_found,0.0,28
TYPICAL SET LLC,,,,not_found,0.0,28
"TRC ENGINEERS, INC. (CA)",,,,not_found,0.0,28
"THYSSENKRUPP CRANKSHAFT COMPANY, LLC",,,,not_found,0.0,28
TRANSPERFECT TRANSLATIONS INTERNATIONAL INC.,,,,not_found,0.0,28
"TOYOTA MOTOR NORTH AMERICA, INC. (TMNA)",,,,not_found,0.0,28
ITENTIAL INC.,,,,not_found,0.0,28
TOOLS FOR HUMANITY CORPORATION,,,,not_found,0.0,28
"TOMTOM NORTH AMERICA, INC.",,,,not_found,0.0,28
"TILE, INC.",,,,not_found,0.0,28
"THYSSENKRUPP SYSTEM ENGINEERING, INC.",,,,not_found,0.0,28
TARO ENGINEERING LLC,,,,not_found,0.0,28
"TANIUS TECHNOLOGY, LLC.",,,,not_found,0.0,28
SYSSTEK LLC,,,,not_found,0.0,28
"SECURENDS, LLC",,,,not_found,0.0,28
"SIVALTECH, INC.",,,,not_found,0.0,28
SIDEL INC.,,,,not_found,0.0,28
SHRIKON TECHNOLOGIES,,,,not_found,0.0,28
"SHREWSBERRY & ASSOCIATES, LLC",,,,not_found,0.0,28
"SHAWNEE MISSION HEALTH CARE, INC.",,,,not_found,0.0,28
SFORCE CORP,,,,not_found,0.0,28
"SELECT PORTFOLIO SERVICING, INC.",,,,not_found,0.0,28
SCIENCE ACADEMIES OF NEW YORK CHARTER SCHOOLS,,,,not_found,0.0,28
"SMART MODULAR TECHNOLOGIES, INC.",,,,not_found,0.0,28
SAVI TECHNOLOGIES INC,,,,not_found,0.0,28
SANSOFT LLC,,,,not_found,0.0,28
RXLOGIX CORPORATION,,,,not_found,0.0,28
RV IT SYSTEMS INC,,,,not_found,0.0,28
"RUHA TECHNOLOGIES, INC",,,,not_found,0.0,28
ROYAL INDEPENDENT SCHOOL DISTRICT,,,,not_found,0.0,28
ROYAL BUSINESS BANK,,,,not_found,0.0,28
SKELLIG AUTOMATION US LLC,,,,not_found,0.0,28
"SMBC CAPITAL MARKETS, INC",,,,not_found,0.0,28
SYNTAX PRO LLC,,,,not_found,0.0,28
STAT N TECH LLC,,,,not_found,0.0,28
"SYNAPSE GROUP, INC.",,,,not_found,0.0,28
SWARATECH INC,,,,not_found,0.0,28
"SVT, INC",,,,not_found,0.0,28
"SUNRAY ENTERPRISE, INC",,,,not_found,0.0,28
SUNNYSIDE UNIFIED SCHOOL DISTRICT 12,,,,not_found,0.0,28
SUNFLOWER COUNTY CONSOLIDATED SCHOOL DISTRICT,,,,not_found,0.0,28
SUMERU TECHNOLOGIES LLC,,,,not_found,0.0,28
"STANLEY BLACK & DECKER, INC.",SWK,NYSE,"Stanley Black & Decker, Inc.",manual,100.0,28
SOFTSAGES LLC,,,,not_found,0.0,28
"SPOTON TRANSACT, LLC",,,,not_found,0.0,28
"SPOTNANA TECHNOLOGY, INC.",,,,not_found,0.0,28
SPINS LLC,,,,not_found,0.0,28
SPARK TECHNOLOGIES INC.,,,,not_found,0.0,28
"SOMA TECHNOLOGY INTERNATIONAL, INC.",,,,not_found,0.0,28
SOLAR LANDSCAPE LLC,,,,not_found,0.0,28
SOFTWARE LABS LLC,,,,not_found,0.0,28
JEFFERSON REGIONAL MEDICAL CENTER,,,,not_found,0.0,28
"CYNOSURE, INC.",,,,not_found,0.0,28
ITEKSYSTEM LLC,,,,not_found,0.0,28
ITECHSTACK INC,,,,not_found,0.0,28
"BREVILLE USA, INC.",,,,not_found,0.0,28
BRANDING BRAND INC.,,,,not_found,0.0,28
BRAMBLES USA INC,,,,not_found,0.0,28
BOT AUTO TX INC,,,,not_found,0.0,28
BOSTON TECHNOLOGY CORPORATION,,,,not_found,0.0,28
BOLD PENGUIN INC.,,,,not_found,0.0,28
"BOEHRINGER INGELHEIM FREMONT, INC.",,,,not_found,0.0,28
BLUPACEUS LLC,,,,not_found,0.0,28
"BLUEBEAM, INC.",,,,not_found,0.0,28
BLOSSOM TECH INC,,,,not_found,0.0,28
"BIZ-METRIC PARTNERS, INC.",,,,not_found,0.0,28
"BEYER BLINDER BELLE, ARCHITECTS AND PLANNERS, LLP",,,,not_found,0.0,28
BETASHARP INC.,,,,not_found,0.0,28
"BENSON REGIONAL AIR GROUP, INC",,,,not_found,0.0,28
"BELLIN MEMORIAL HOSPITAL, INC.",,,,not_found,0.0,28
BAYONE SOLUTIONS,,,,not_found,0.0,28
BAY AREA COMMUNITY HEALTH,,,,not_found,0.0,28
BUZZCLAN LLC,,,,not_found,0.0,28
"CALA HEALTH, INC.",,,,not_found,0.0,28
CALLIDUS SOFTWARE INC.,,,,not_found,0.0,28
CERTIFY GLOBAL  INC.,,,,not_found,0.0,28
"CLOUDYWING TECHNOLOGIES, INC",,,,not_found,0.0,28
CLOUD PPH INC,,,,not_found,0.0,28
"CLIENT FOCUS, LLC",,,,not_found,0.0,28
"CIBT, INC.",,,,not_found,0.0,28
"CHICAGO MERCANTILE EXCHANGE, INC.",CME,NASDAQ,CME Group Inc.,manual,100.0,28
CHARACTER TECHNOLOGIES INC.,,,,not_found,0.0,28
CES CONSULTING LLC,,,,not_found,0.0,28
CERIUM SYSTEMS INC,,,,not_found,0.0,28
"CAMPBELLSVILLE UNIVERSITY, INC.",,,,not_found,0.0,28
CDRP TECHNOLOGIES LLC,,,,not_found,0.0,28
CATALYST CONSTRUCTION INC.,,,,not_found,0.0,28
CARNEGIE INSTITUTION FOR SCIENCE,,,,not_found,0.0,28
"CAREPOINT, P.C.",,,,not_found,0.0,28
"CARE EVERYWHERE, LLC",,,,not_found,0.0,28
CARDIOVASCULAR RESEARCH FOUNDATION,,,,not_found,0.0,28
CAPRICORN SYSTEMS INC,,,,not_found,0.0,28
BASIC SOLUTIONS CORP.,,,,not_found,0.0,28
BARNARD COLLEGE,,,,not_found,0.0,28
"BAKER & TAYLOR, LLC",,,,not_found,0.0,28
"AHEAD, INC",,,,not_found,0.0,28
"ALTIUS TECHNOLOGIES, INC",,,,not_found,0.0,28
"ALSO, INC.",,,,not_found,0.0,28
ALLEGHENY COLLEGE,,,,not_found,0.0,28
"ALGEBRAIT, LLC",,,,not_found,0.0,28
ALFA SERVICES USA INC.,,,,not_found,0.0,28
ALABAMA A&M UNIVERSITY,,,,not_found,0.0,28
"AIDENAI, INC.",,,,not_found,0.0,28
AGS LLC,,,,not_found,0.0,28
AMDA SOFTWARE SOLUTIONS,,,,not_found,0.0,28
"AGA FINCORP, INC.",,,,not_found,0.0,28
"AFLAC ASSET MANAGEMENT, LLC",,,,not_found,0.0,28
ACI GIFT CARDS LLC,,,,not_found,0.0,28
ACENTLE INC,,,,not_found,0.0,28
ACCVEE INC,,,,not_found,0.0,28
"ABACUS TECHNICAL SERVICES, LLC",,,,not_found,0.0,28
"4S TECHNOLOGIES, LLC",,,,not_found,0.0,28
AMAZON RETAIL LLC,,,,not_found,0.0,28
AMERISTAR STAFFING INC,,,,not_found,0.0,28
BAKER & MCKENZIE GLOBAL SERVICES LLC,,,,not_found,0.0,28
ASTUTE 360 CORPORATION,,,,not_found,0.0,28
AZZUR GROUP LLC DBA AZZUR OF CA LLC,,,,not_found,0.0,28
"AZZUR GROUP DBA, AZZUR CONSULTING LLC",,,,not_found,0.0,28
AWESUNG INC.,,,,not_found,0.0,28
"AVIS GLOBAL IT SOLUTIONS, INC",,,,not_found,0.0,28
"AUS MERCHANT SERVICES, INC.",,,,not_found,0.0,28
AURAMEDPRO INC,,,,not_found,0.0,28
"AU MEDICAL CENTER, INC.",,,,not_found,0.0,28
ASIAN COUNSELING AND REFERRAL SERVICE,,,,not_found,0.0,28
"ANVETA, INC.",,,,not_found,0.0,28
"ARRIVER SOFTWARE, INC.",,,,not_found,0.0,28
"ARCO/MURRAY NATIONAL CONSTRUCTION COMPANY, LLC",,,,not_found,0.0,28
APPODIS INC.,,,,not_found,0.0,28
"APPLIED VALUE TECHNOLOGIES, INC.",,,,not_found,0.0,28
APP SOFT SOLUTIONS INC,,,,not_found,0.0,28
"APARTMENT LIST, INC.",,,,not_found,0.0,28
ANVIM TECH INC.,,,,not_found,0.0,28
"CLOVER NETWORK, INC.",,,,not_found,0.0,28
"CODIAK BIOSCIENCES, INC.",,,,not_found,0.0,28
CONCORD HOSPITAL,,,,not_found,0.0,28
"GOWAN COMPANY, LLC",,,,not_found,0.0,28
"HELIX ELECTRIC, INC.",,,,not_found,0.0,28
HEDGESERV CORPORATION,,,,not_found,0.0,28
"HEARST BUSINESS PUBLISHING, INC.",,,,not_found,0.0,28
HANUHIGH TECHNOLOGIES INC,,,,not_found,0.0,28
"GREIF, INC.",,,,not_found,0.0,28
GRAPE LAW FIRM PLLC,,,,not_found,0.0,28
"GRAND CIRCLE, LLC",,,,not_found,0.0,28
GLOBAL CONNECT TECHNOLOGIES INC.,,,,not_found,0.0,28
"HILABS, INC",,,,not_found,0.0,28
GEORGE P. JOHNSON COMPANY,,,,not_found,0.0,28
"GENOVA TECHNOLOGIES, INC.",,,,not_found,0.0,28
"GENMARK DIAGNOSTICS, INC.",,,,not_found,0.0,28
GEMOLOGICAL INSTITUTE OF AMERICA (GIA),,,,not_found,0.0,28
"GANNETT FLEMING ENGINEERS AND ARCHITECTS, PC",,,,not_found,0.0,28
"FRONTIDA BIOPHARM, INC.",,,,not_found,0.0,28
FRIENDWELL MANAGEMENT USA LLC,,,,not_found,0.0,28
HIDDEN LAKE TECHNOLOGIES INC.,,,,not_found,0.0,28
HOLSMAN HEALTHCARE LLC,,,,not_found,0.0,28
FLSMIDTH INC.,,,,not_found,0.0,28
INSTELLARS GLOBAL CONSULTING INC,,,,not_found,0.0,28
IT-SCIENT LLC,,,,not_found,0.0,28
IP HEIGHTS LLC.,,,,not_found,0.0,28
INVISIBLE TECHNOLOGIES INC.,,,,not_found,0.0,28
INVENTECH SOLUTIONS LLC,,,,not_found,0.0,28
INTSTRUX LLC,,,,not_found,0.0,28
INTERNATIONAL TECHNEGROUP INCORPORATED,,,,not_found,0.0,28
INTEGRATED ANESTHESIA ASSOCIATES LLC,,,,not_found,0.0,28
INNOSOUL INC,,,,not_found,0.0,28
"HOOLI HOMES BOSTON, INC.",,,,not_found,0.0,28
"INFOSEMANTICS, INC.",,,,not_found,0.0,28
INDEPENDENT SCHOOL DISTRICT NO. 16,,,,not_found,0.0,28
INCEDO INC.,,,,not_found,0.0,28
IMEG CONSULTANTS CORP.,,,,not_found,0.0,28
"IDEA HELIX, INC",,,,not_found,0.0,28
HYZON MOTORS INC.,,,,not_found,0.0,28
HYCLOUD TECHNOLOGIES LLC,,,,not_found,0.0,28
FORREST GENERAL HOSPITAL,,,,not_found,0.0,28
FINIX PAYMENTS INC.,,,,not_found,0.0,28
"CONGERO TECHNOLOGY, LLC",,,,not_found,0.0,28
"CUSTOMIZED ENERGY SOLUTIONS, LTD.",,,,not_found,0.0,28
"DEV SYSTEMS, INC.",,,,not_found,0.0,28
DELTA ELECTRONICS AUTOMOTIVE AMERICAS INC.,,,,not_found,0.0,28
"DATAMANUSA, LLC",,,,not_found,0.0,28
"DANIEL L. SUN, INC.",,,,not_found,0.0,28
UTAH TECH UNIVERSITY,,,,not_found,0.0,28
"CYNDX TECHNOLOGIES, INC.",,,,not_found,0.0,28
"CYANICSOFT, INC.",,,,not_found,0.0,28
"CROSSVALE, INC.",,,,not_found,0.0,28
DIONA (US) INC.,,,,not_found,0.0,28
CR TECK INC,,,,not_found,0.0,28
CPSG PARTNERS LLC D/B/A MERCER DIGITAL,,,,not_found,0.0,28
COURSE5 INTELLIGENCE PRIVATE LIMITED,,,,not_found,0.0,28
CORPAY,,,,not_found,0.0,28
CORCENTRIC LLC,,,,not_found,0.0,28
"CONSOLIDATED METCO, INC.",,,,not_found,0.0,28
"CONSERVICE, LLC",,,,not_found,0.0,28
DEX TECH LLC,,,,not_found,0.0,28
DLZ CORPORATION,,,,not_found,0.0,28
"FAURECIA EMISSIONS CONTROL SYSTEMS, NA, LLC",,,,not_found,0.0,28
"ELECTRIC POWER ENGINEERS, LLC",,,,not_found,0.0,28
"EZOIC, INC.",,,,not_found,0.0,28
EVOQUA WATER TECHNOLOGIES LLC,,,,not_found,0.0,28
"EPIC ENGINEERING & CONSULTING GROUP, LLC",,,,not_found,0.0,28
ENSTAR (US) INC.,,,,not_found,0.0,28
ELLIOTT MANAGEMENT CORPORATION,,,,not_found,0.0,28
"ELECTRIFAI, LLC",,,,not_found,0.0,28
"ELECTRIC POWER SYSTEMS INTERNATIONAL, INC.",,,,not_found,0.0,28
EIDIKO SYSTEMS INTEGRATORS LLC,,,,not_found,0.0,28
DOLI SYSTEMS INC,,,,not_found,0.0,28
"ECS FLORIDA, LLC",,,,not_found,0.0,28
"EC INFOSYSTEMS, INC.",,,,not_found,0.0,28
"E-NEXUS, INC",,,,not_found,0.0,28
"DUNKIN' BRANDS, INC.",,,,not_found,0.0,28
"DTS, INC.",,,,not_found,0.0,28
"DSP CONCEPTS, INC.",,,,not_found,0.0,28
"DONEGAL OFFICE SOLUTIONS, INC.",,,,not_found,0.0,28
VALI LLC,,,,not_found,0.0,28
VKTEK INC,,,,not_found,0.0,28
VOYA INVESTMENT MANAGEMENT LLC,,,,not_found,0.0,28
"SIMULATIONS PLUS, INC.",SLP,NASDAQ,"Simulations Plus, Inc.",listing,100.0,28
"TAVANT TECHNOLOGIES, INC",nan,nan,nan,not_traded,0.0,28
TAYLOR CORPORATION,TAYD,NASDAQ,"Taylor Devices, Inc.",listing,100.0,28
THE PENNSYLVANIA HOSPITAL OF THE UNIVERSITY OF PENNSYLVANIA HEALTH SYSTEM,nan,nan,nan,not_traded,0.0,28
THE UNIVERSITY OF SAN FRANCISCO,nan,nan,nan,not_traded,0.0,28
YOUNGSTOWN STATE UNIVERSITY,nan,nan,nan,not_traded,0.0,28
"ZOLON TECH SOLUTIONS, INC",KMRK,NASDAQ,K-Tech Solutions Company Limite,listing,93.0,28
"VERINT AMERICAS, INC.",,,,not_found,0.0,28
ZINIER INC,,,,not_found,0.0,28
ZIDDOS INC.,,,,not_found,0.0,28
"ZENITH LIFESCIENCE, LLC",,,,not_found,0.0,28
"ZEECO, INC.",,,,not_found,0.0,28
"ZAYO GROUP, LLC",,,,not_found,0.0,28
"WUXI APPTEC SALES, LLC",,,,not_found,0.0,28
WOODBRIDGE HOLDINGS INC.,,,,not_found,0.0,28
"WISS & COMPANY, LLP",,,,not_found,0.0,28
WINTEL TECHNOLOGIES LLC,,,,not_found,0.0,28
